City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pisco,PE,-13.7,-76.2167,62.65,77,0,6.91,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,94,75,6.91,mist
81,Upernavik,GL,72.7868,-56.1549,42.48,95,100,5.41,moderate rain
82,Ponta Do Sol,PT,32.6667,-17.1,72.23,70,1,4.38,clear sky
83,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,76,99,0.92,overcast clouds
84,Kupang,ID,-10.1667,123.5833,79.59,61,2,12.1,clear sky
85,Casas Grandes,MX,30.3667,-107.95,72.45,67,91,3.2,light rain
86,Saint-Junien,FR,45.8833,0.9,70.38,80,69,2.28,broken clouds
87,Georgetown,MY,5.4112,100.3354,76.89,93,20,2.3,few clouds
88,Kashima,JP,33.1061,130.0906,83.8,66,71,2.57,light rain
89,Axim,GH,4.8699,-2.2405,74.14,91,90,8.75,light rain
90,Avarua,CK,-21.2078,-159.775,77.05,69,40,21.85,scattered clouds
91,Beringovskiy,RU,63.05,179.3167,51.51,86,100,3.74,overcast clouds
92,Lebu,CL,-37.6167,-73.65,50.09,93,100,9.69,light rain
93,Jining,CN,35.405,116.5814,69.39,66,55,3.6,broken clouds
94,Sibolga,ID,1.7427,98.7792,75.34,87,89,3.42,overcast clouds
95,Umtata,ZA,-31.5889,28.7844,55.27,44,1,5.14,clear sky
96,Qaanaaq,GL,77.484,-69.3632,33.24,61,0,5.32,clear sky
97,Buraydah,SA,26.326,43.975,88.25,18,2,9.71,clear sky
98,Tiruchchendur,IN,8.4833,78.1167,80.49,73,100,9.31,light rain
99,Teya,RU,60.3778,92.6267,49.77,99,100,2.89,overcast clouds
100,Atuona,PF,-9.8,-139.0333,76.84,65,24,9.64,few clouds
101,Turukhansk,RU,65.8167,87.9833,54.7,92,72,6.2,broken clouds
102,Berlevag,NO,70.8578,29.0864,49.95,76,100,29.93,overcast clouds
103,Magnolia,US,33.2671,-93.2393,74.89,100,99,7.34,overcast clouds
104,Atambua,ID,-9.1061,124.8925,76.98,51,5,3.47,clear sky
105,New Norfolk,AU,-42.7826,147.0587,49.91,86,100,7.0,overcast clouds
106,Tooele,US,40.5308,-112.2983,94.3,25,0,9.22,clear sky
107,Lavrentiya,RU,65.5833,-171.0,44.53,74,29,5.19,scattered clouds
108,Thunder Bay,CA,48.4001,-89.3168,75.18,73,75,4.61,broken clouds
109,Barrow,US,71.2906,-156.7887,39.22,100,100,11.5,mist
110,Macklin,CA,52.3334,-109.9348,79.14,27,72,7.49,broken clouds
111,Taltal,CL,-25.4,-70.4833,60.31,69,18,5.64,few clouds
112,Nikolskoye,RU,59.7035,30.7861,66.79,67,67,4.05,broken clouds
113,Saquarema,BR,-22.92,-42.5103,66.34,89,47,13.69,scattered clouds
114,Saldanha,ZA,-33.0117,17.9442,59.05,86,21,16.26,few clouds
115,Hobart,AU,-42.8794,147.3294,50.25,77,75,10.36,broken clouds
116,Tombouctou,ML,20.0,-3.0,98.87,25,100,18.5,overcast clouds
117,Gaurnadi,BD,22.9667,90.2333,79.05,93,37,6.04,scattered clouds
118,Lasa,IT,46.6166,10.7002,55.69,71,4,4.5,clear sky
119,Kruisfontein,ZA,-34.0033,24.7314,63.57,34,0,11.27,clear sky
